ISSN;JournalName;Publisher;Publisher Country;Beall List;DevelopedAuthors;SJR;Results;Kvadrant;WoS;Average WoS IF;DOAJ;ScopusDiscontinued
1096-3685;Academy of Accounting and Financial Studies Journal;Allied Academies;United States;from publishers;82,400%;0,159;119;IV.;FALSE;NA;not in DOAJ;FALSE
1087-9595;Academy of Entrepreneurship Journal;Allied Academies;United States;from publishers;67,188%;0,165;60;IV.;FALSE;NA;not in DOAJ;FALSE
1095-6298;Academy of Marketing Studies Journal;Allied Academies;United States;from publishers;82,203%;0,151;110;IV.;FALSE;NA;not in DOAJ;FALSE
1544-1458;Academy of Strategic Management Journal;Allied Academies;United States;from publishers;72,881%;0,142;58;IV.;FALSE;NA;not in DOAJ;FALSE
1936-6612;Advanced Science Letters;American Scientific Publishers;United States;from publishers;4,237%;0,154;2154;III.;TRUE;75,424;not in DOAJ;FALSE
1313-1311;Advanced Studies in Theoretical Physics;Hikari Ltd.;Bulgaria;from publishers;10,264%;0,425;314;III.;FALSE;NA;not in DOAJ;FALSE
0189-6016;African Journal of Traditional, Complementary and Alternative Medicines;African Ethnomedicines Network;Nigeria;from standalone journals;3,441%;0,258;441;III.;TRUE;6,25;not in DOAJ;FALSE
1945-4589;Aging;Impact Journals LLC;United States;from publishers;67,330%;2,596;227;I.;TRUE;64,439;not in DOAJ;FALSE
1993-6788;Aktual'ni Problemy Ekonomiky;Natsional'na Akademiya Upravlinnya,National Academy of Management;Ukraine;from standalone journals;1,519%;0,124;2266;III.;TRUE;NA;not in DOAJ;FALSE
1557-4989;American Journal of Agricultural and Biological Sciences;Science Publications;United States;from publishers;18,310%;0,347;127;III.;FALSE;NA;normal;FALSE
1557-4555;American Journal of Animal and Veterinary Sciences;Science Publications;United States;from publishers;24,460%;0,259;105;III.;FALSE;NA;normal;FALSE
1546-9239;American Journal of Applied Sciences;Science Publications;United States;from publishers;5,565%;0,254;536;III.;FALSE;NA;normal;FALSE
1553-3468;American Journal of Biochemistry and Biotechnology;Science Publications;United States;from publishers;23,741%;0,274;104;III.;FALSE;NA;normal;FALSE
2150-4210;American Journal of Biochemistry and Molecular Biology;Academic Journals, Inc.;United States;from publishers;3,279%;0,182;55;III.;FALSE;NA;not in DOAJ;FALSE
2150-427X;American Journal of Drug Discovery and Development;Academic Journals, Inc.;United States;from publishers;4,688%;0,148;58;III.;FALSE;NA;not in DOAJ;FALSE
1553-345X;American Journal of Environmental Sciences;Science Publications;United States;from publishers;24,855%;0,266;149;III.;FALSE;NA;normal;FALSE
1557-4571;American Journal of Food Technology;Academic Journals, Inc.;United States;from publishers;5,882%;0,211;91;III.;FALSE;NA;not in DOAJ;FALSE
1553-619X;American Journal of Immunology;Science Publications;United States;from publishers;43,529%;0,165;67;IV.;FALSE;NA;normal;FALSE
1553-6203;American Journal of Infectious Diseases;Science Publications;United States;from publishers;24,638%;0,152;61;III.;TRUE;NA;normal;FALSE
1557-4962;American Journal of Pharmacology and Toxicology;Science Publications;United States;from publishers;10,256%;0,246;56;III.;FALSE;NA;not in DOAJ;FALSE
1943-8141;American Journal of Translational Research;E-Century Publishing Corporation;United States;from publishers;33,839%;1,442;373;I.;TRUE;62,19;not in DOAJ;FALSE
1312-885X;Applied Mathematical Sciences;Hikari Ltd.;Bulgaria;from publishers;6,828%;0,368;2090;III.;FALSE;NA;not in DOAJ;FALSE
2325-0399;Applied Mathematics & Information Sciences (Online);Natural Sciences Publishing Corporation;Bahrain;from publishers;8,491%;0,35;1018;III.;TRUE;54,542;not in DOAJ;FALSE
0970-7077;Asian Journal of Chemistry;Chemic Publishing Company;India;from standalone journals;2,419%;0,146;5278;III.;TRUE;9,122;not in DOAJ;FALSE
1682-3915;Asian Journal of Information Technology;Medwell Journals;Pakistan;from publishers;0,488%;0,107;204;III.;FALSE;NA;not in DOAJ;FALSE
2222-1808;Asian Pacific Journal of Tropical Disease;Hainan Medical College,Hainan Yixueyuan;China;from standalone journals;5,771%;0,423;672;III.;FALSE;NA;not in DOAJ;FALSE
1911-2017;Asian Social Science;Canadian Center of Science and Education;Canada;from publishers;3,396%;0,187;2154;III.;FALSE;NA;not in DOAJ;TRUE
0974-6242;Biomedical & Pharmacology Journal;Oriental Scientific Publishing Company, Inc.;India;from standalone journals;0,000%;0,133;551;III.;FALSE;NA;not in DOAJ;FALSE
0973-1245;Biosciences Biotechnology Research Asia;Oriental Scientific Publishing Company, Inc.;India;from standalone journals;1,498%;0,132;1011;III.;FALSE;NA;not in DOAJ;FALSE
0974-0546;Carbon Science and Technology;Applied Science Innovations Pvt. Ltd.;India;from publishers;1,667%;0,13;60;III.;FALSE;NA;normal;FALSE
0145-5680;Cellular and Molecular Biology; C M B Association;France;from standalone journals;19,512%;0,381;204;III.;TRUE;3,287;not in DOAJ;FALSE
1745-0179;Clinical Practice and Epidemiology in Mental Health;Bentham Open;Netherlands;from publishers;33,117%;0,668;77;III.;FALSE;NA;normal;FALSE
